DeviceName,DeviceDateTime,BatteryStatus,CommId,Latitude,Longitude
0-4406439,2022-10-11 10:35:20,GOOD,0-4406439,43.08446,5.99907
,,,,,
0-4409666,2022-10-11 10:35:04,GOOD,0-4409666,43.08109,6.00384
,,,,,
0-4407230,2022-10-11 10:33:21,LOW,0-4407230,43.07349,5.97882
,,,,,
0-4410119,2022-10-11 10:32:54,GOOD,0-4410119,43.07338,5.97721
,,,,,
0-3153368,2022-10-11 10:32:36,GOOD,0-3153368,43.08125,5.98497
,,,,,
0-4406439,2022-10-11 10:30:55,GOOD,0-4406439,43.08418,5.99937
,,,,,
0-4408436,2022-10-11 10:30:45,LOW,0-4408436,43.08034,5.985
,,,,,
0-4409666,2022-10-11 10:30:01,GOOD,0-4409666,43.08088,6.00351
,,,,,
0-4407230,2022-10-11 10:28:23,LOW,0-4407230,43.07366,5.97847
,,,,,
0-4410119,2022-10-11 10:27:55,GOOD,0-4410119,43.07344,5.97682
,,,,,
0-3153368,2022-10-11 10:27:54,GOOD,0-3153368,43.08116,5.985
,,,,,
0-4408436,2022-10-11 10:25:43,LOW,0-4408436,43.08026,5.98478
,,,,,
0-4406439,2022-10-11 10:25:20,GOOD,0-4406439,43.0838,5.99984
,,,,,
0-4409666,2022-10-11 10:25:03,GOOD,0-4409666,43.08068,6.00319
,,,,,
0-4410119,2022-10-11 10:23:30,GOOD,0-4410119,43.07353,5.9765
,,,,,
0-4407230,2022-10-11 10:23:21,LOW,0-4407230,43.07383,5.97813
,,,,,
0-3153368,2022-10-11 10:22:37,GOOD,0-3153368,43.08105,5.985
,,,,,
0-4408436,2022-10-11 10:20:41,LOW,0-4408436,43.08009,5.98467
,,,,,
0-4406439,2022-10-11 10:20:22,GOOD,0-4406439,43.08342,6.00025
,,,,,
0-4409666,2022-10-11 10:20:01,GOOD,0-4409666,43.08054,6.00291
,,,,,
0-4407230,2022-10-11 10:18:23,LOW,0-4407230,43.07404,5.97781
,,,,,
0-4410119,2022-10-11 10:17:52,GOOD,0-4410119,43.07365,5.97609
,,,,,
0-3153368,2022-10-11 10:17:41,GOOD,0-3153368,43.08094,5.98502
,,,,,
